sector,fiscal_year,number_of_agents
miami,1995,51
nationwide total,1995,4945
new orleans,1995,34
northern border,1995,296
ramey,1995,21
rio grande valley,1995,474
san diego,1995,1433
southwest border,1995,4388
spokane,1995,32
swanton,1995,68
tucson,1995,407
yuma,1995,185
big bend,1994,128
blaine,1994,43
buffalo,1994,31
coastal border,1994,170
del rio,1994,299
detroit,1994,31
el centro,1994,194
el paso,1994,643
grand forks,1994,30
havre,1994,30
houlton,1994,35
laredo,1994,337
livermore,1994,51
miami,1994,55
nationwide total,1994,4287
new orleans,1994,38
northern border,1994,306
ramey,1994,26
rio grande valley,1994,392
san diego,1994,1290
southwest border,1994,3747
spokane,1994,36
swanton,1994,70
tucson,1994,282
yuma,1994,182
big bend,1993,134
blaine,1993,45
buffalo,1993,33
coastal border,1993,183
del rio,1993,297
detroit,1993,31
el centro,1993,198
el paso,1993,608
grand forks,1993,30
havre,1993,30
houlton,1993,34
laredo,1993,353
livermore,1993,52
miami,1993,58
nationwide total,1993,4028
new orleans,1993,41
northern border,1993,310
ramey,1993,32
rio grande valley,1993,393
san diego,1993,992
southwest border,1993,3444
spokane,1993,36
swanton,1993,71
tucson,1993,287
yuma,1993,182
big bend,1992,108
blaine,1992,39
buffalo,1992,33
coastal border,1992,187
del rio,1992,317
detroit,1992,29
el centro,1992,217
el paso,1992,627
grand forks,1992,28
havre,1992,32
houlton,1992,35
laredo,1992,364
livermore,1992,55
miami,1992,58
nationwide total,1992,4139
new orleans,1992,41
northern border,1992,299
ramey,1992,33
rio grande valley,1992,418
san diego,1992,1009
southwest border,1992,3555
spokane,1992,35
swanton,1992,68
tucson,1992,300
yuma,1992,195
